index,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,country,introelapse,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,voted,married,familysize,ASD,nerdiness
10,4.0,5.0,4.0,3.0,1.0,5.0,4.0,5.0,1.0,5.0,1.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,DNK,11,84,189,3.0,1.0,5.0,4.0,4.0,4.0,3.0,2.0,4.0,1.0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,3.0,3,2.0,2.0,20,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0
11,4.0,4.0,5.0,2.0,4.0,2.0,5.0,5.0,2.0,2.0,4.0,4.0,5.0,2.0,4.0,2.0,3.0,2.0,5.0,5.0,2.0,3.0,4.0,4.0,2.0,4.0,GRC,60,112,166,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1.0,3,2.0,2.0,18,1.0,7.0,1.0,2.0,1.0,2.0,2.0,0
12,3.0,2.0,3.0,2.0,4.0,2.0,3.0,1.0,4.0,2.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,5.0,1.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,USA,9,66,97,5.0,2.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,3.0,2,2.0,1.0,29,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0
13,4.0,5.0,2.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,5.0,3.0,1.0,1.0,4.0,4.0,5.0,4.0,USA,3,420,161,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3.0,2,1.0,1.0,24,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1
14,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,1.0,3.0,1.0,1.0,4.0,5.0,5.0,4.0,USA,3,125,174,2.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2.0,3,1.0,1.0,18,1.0,2.0,2.0,2.0,1.0,2.0,2.0,0
15,4.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,2.0,3.0,QAT,2,385,190,2.0,3.0,4.0,1.0,3.0,5.0,3.0,3.0,4.0,2.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1.0,2,1.0,2.0,13,1.0,10.0,,2.0,1.0,5.0,2.0,0
16,5.0,5.0,5.0,5.0,4.0,2.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,2.0,4.0,3.0,1.0,4.0,4.0,2.0,3.0,GBR,3,79,124,1.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,1.0,3.0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2.0,3,2.0,1.0,14,1.0,2.0,2.0,2.0,1.0,1.0,2.0,0
17,5.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,,2.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,ROU,18,96,209,3.0,3.0,4.0,1.0,5.0,5.0,3.0,5.0,5.0,1.0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1.0,3,2.0,2.0,18,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1
18,2.0,5.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0,4.0,1.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,GBR,7,100,161,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,3.0,0,2.0,1.0,20,,1.0,5.0,1.0,1.0,2.0,,0
19,4.0,5.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,5.0,1.0,3.0,5.0,4.0,1.0,3.0,4.0,5.0,2.0,3.0,1.0,3.0,5.0,5.0,1.0,5.0,USA,4,107,175,2.0,4.0,5.0,3.0,3.0,4.0,2.0,1.0,4.0,3.0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,3.0,3,1.0,1.0,34,1.0,7.0,1.0,2.0,3.0,5.0,2.0,0
20,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,2.0,5.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,USA,2,107,230,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,1.0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1.0,3,1.0,1.0,16,2.0,12.0,1.0,2.0,1.0,2.0,2.0,1
21,5.0,5.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,1.0,3.0,5.0,5.0,5.0,3.0,5.0,4.0,2.0,3.0,2.0,5.0,5.0,4.0,2.0,3.0,HUN,15,111,200,3.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,1.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1.0,3,2.0,2.0,16,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1
22,4.0,2.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,1.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,2.0,5.0,1.0,3.0,3.0,5.0,3.0,5.0,USA,12,82,129,1.0,3.0,4.0,3.0,4.0,5.0,4.0,1.0,3.0,2.0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2.0,1,2.0,1.0,17,3.0,7.0,1.0,2.0,1.0,3.0,2.0,1
23,3.0,3.0,5.0,3.0,4.0,2.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,1.0,3.0,USA,3,141,120,2.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,2.0,1,1.0,1.0,19,2.0,7.0,2.0,2.0,1.0,3.0,2.0,0
24,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,AUS,4,601,208,3.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,1.0,1.0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2.0,2,2.0,1.0,15,1.0,12.0,3.0,2.0,1.0,4.0,2.0,1
25,4.0,4.0,3.0,5.0,2.0,1.0,2.0,4.0,1.0,5.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,1.0,3.0,4.0,1.0,2.0,USA,43,176,207,3.0,3.0,1.0,3.0,4.0,3.0,5.0,5.0,2.0,2.0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1.0,2,2.0,1.0,17,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0
26,4.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,4.0,4.0,5.0,4.0,AUS,34,133,216,2.0,4.0,4.0,2.0,4.0,5.0,5.0,2.0,5.0,3.0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,3.0,2,1.0,1.0,40,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1
27,5.0,5.0,5.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,5.0,1.0,1.0,3.0,3.0,1.0,3.0,USA,5,99,145,1.0,3.0,5.0,3.0,3.0,5.0,5.0,1.0,5.0,3.0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2.0,3,2.0,2.0,23,1.0,3.0,1.0,2.0,1.0,3.0,2.0,0
28,3.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,2.0,2.0,5.0,5.0,2.0,4.0,POL,826,88,104,2.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,2.0,3,2.0,2.0,18,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1
29,2.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,4.0,5.0,4.0,1.0,2.0,1.0,1.0,2.0,4.0,5.0,1.0,3.0,1.0,1.0,4.0,1.0,4.0,USA,8,91,162,4.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1.0,2,1.0,1.0,14,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0
30,5.0,5.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,2.0,4.0,4.0,2.0,5.0,USA,3,153,174,4.0,1.0,4.0,2.0,5.0,2.0,5.0,2.0,4.0,2.0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1.0,2,2.0,1.0,17,1.0,2.0,1.0,2.0,1.0,4.0,2.0,1
31,4.0,2.0,4.0,2.0,1.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,CAN,23,189,167,2.0,2.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,2.0,2,2.0,1.0,20,1.0,4.0,1.0,2.0,1.0,2.0,2.0,0
32,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,1.0,2.0,3.0,4.0,4.0,5.0,2.0,5.0,5.0,4.0,3.0,4.0,AUS,10,131,251,1.0,5.0,5.0,1.0,3.0,5.0,3.0,1.0,4.0,3.0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,3.0,2,1.0,1.0,26,2.0,6.0,1.0,1.0,1.0,1.0,2.0,0
33,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,5.0,4.0,2.0,4.0,3.0,5.0,4.0,3.0,4.0,2.0,4.0,2.0,5.0,AUS,4,71,123,3.0,2.0,3.0,4.0,5.0,4.0,4.0,3.0,2.0,1.0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2.0,1,1.0,1.0,17,1.0,7.0,1.0,2.0,1.0,3.0,2.0,1
34,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,1.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,2.0,5.0,4.0,5.0,USA,2,59,72,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1.0,1,2.0,1.0,32,3.0,2.0,1.0,2.0,2.0,3.0,2.0,1
35,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,ARG,5558,64,280,2.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,1.0,3.0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,2.0,2,3.0,2.0,13,1.0,2.0,3.0,2.0,1.0,3.0,2.0,0
36,3.0,2.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,1.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,USA,5,96,158,3.0,5.0,3.0,2.0,5.0,3.0,2.0,1.0,4.0,1.0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,3.0,1,2.0,1.0,22,1.0,1.0,1.0,1.0,1.0,5.0,2.0,0
37,4.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,FRA,11,89,167,1.0,4.0,3.0,4.0,5.0,5.0,2.0,3.0,2.0,1.0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,2.0,3,2.0,2.0,18,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0
38,5.0,3.0,5.0,5.0,5.0,4.0,5.0,1.0,3.0,5.0,1.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,2.0,4.0,2.0,1.0,3.0,5.0,5.0,5.0,ITA,317,86,165,2.0,4.0,5.0,4.0,5.0,4.0,2.0,3.0,3.0,1.0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1.0,3,1.0,2.0,17,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1
39,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,2.0,5.0,4.0,5.0,5.0,4.0,1.0,1.0,5.0,4.0,4.0,3.0,USA,5,70,152,2.0,3.0,4.0,2.0,3.0,4.0,1.0,3.0,4.0,5.0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2.0,1,1.0,1.0,25,1.0,2.0,,1.0,1.0,3.0,2.0,1
40,4.0,2.0,4.0,3.0,5.0,3.0,5.0,4.0,5.0,4.0,2.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,1.0,1.0,4.0,5.0,5.0,5.0,GBR,45,69,94,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,1.0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,3.0,3,2.0,1.0,27,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1
41,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,5.0,3.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,NLD,637,81,125,4.0,3.0,3.0,5.0,5.0,2.0,3.0,4.0,1.0,1.0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,4.0,3,1.0,2.0,33,2.0,2.0,1.0,1.0,2.0,,2.0,1
42,5.0,3.0,4.0,5.0,5.0,3.0,5.0,1.0,4.0,4.0,1.0,5.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,5.0,2.0,2.0,4.0,5.0,3.0,3.0,AUS,9,130,217,3.0,4.0,4.0,3.0,3.0,5.0,4.0,1.0,4.0,1.0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,3.0,3,1.0,2.0,41,1.0,2.0,3.0,1.0,1.0,3.0,2.0,0
43,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,USA,410,123,1588,4.0,2.0,5.0,2.0,5.0,2.0,5.0,1.0,3.0,1.0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,2.0,1,2.0,1.0,18,1.0,6.0,1.0,2.0,1.0,2.0,2.0,1
44,3.0,4.0,,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,1.0,5.0,4.0,2.0,2.0,5.0,3.0,5.0,4.0,2.0,1.0,4.0,3.0,2.0,USA,2,130,161,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1.0,3,1.0,1.0,15,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0
45,3.0,2.0,4.0,3.0,4.0,5.0,4.0,2.0,5.0,3.0,5.0,3.0,4.0,5.0,4.0,2.0,3.0,4.0,4.0,4.0,1.0,2.0,5.0,3.0,4.0,5.0,DEU,10,93,243,3.0,5.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3.0,2,1.0,2.0,27,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1
46,4.0,3.0,5.0,3.0,2.0,2.0,3.0,5.0,2.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,1.0,4.0,4.0,4.0,4.0,ITA,414,133,219,2.0,1.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,2.0,3,2.0,2.0,18,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1
47,5.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,2.0,5.0,3.0,4.0,3.0,4.0,4.0,2.0,5.0,3.0,4.0,GBR,3,93,179,3.0,2.0,4.0,1.0,3.0,5.0,4.0,3.0,3.0,1.0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3.0,1,2.0,1.0,21,1.0,7.0,4.0,2.0,1.0,3.0,2.0,0
48,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,USA,2,182,881,3.0,2.0,4.0,2.0,5.0,3.0,4.0,3.0,3.0,2.0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1.0,2,2.0,1.0,13,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1
49,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,5.0,USA,13,143,308,1.0,3.0,3.0,5.0,3.0,5.0,3.0,5.0,2.0,1.0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,2.0,2,2.0,1.0,22,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1
50,4.0,5.0,4.0,4.0,4.0,2.0,5.0,2.0,4.0,5.0,4.0,3.0,1.0,2.0,4.0,5.0,3.0,5.0,5.0,4.0,1.0,1.0,2.0,5.0,3.0,4.0,USA,24,126,161,4.0,5.0,4.0,5.0,4.0,3.0,5.0,3.0,3.0,2.0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,2.0,2,1.0,1.0,19,1.0,7.0,2.0,1.0,1.0,3.0,1.0,1
51,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,1.0,4.0,5.0,5.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,3.0,USA,21,105,207,2.0,3.0,3.0,4.0,3.0,5.0,2.0,4.0,3.0,2.0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1.0,2,2.0,1.0,17,1.0,1.0,5.0,2.0,1.0,3.0,2.0,1
52,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,UKR,98,64,98,1.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2.0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3.0,3,2.0,2.0,23,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1
53,4.0,5.0,5.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,5.0,2.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,ITA,8,114,216,3.0,1.0,3.0,2.0,5.0,5.0,4.0,3.0,4.0,2.0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,3.0,3,2.0,2.0,50,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0
54,2.0,5.0,4.0,2.0,4.0,3.0,5.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,5.0,3.0,2.0,5.0,1.0,2.0,1.0,1.0,5.0,4.0,4.0,4.0,BGR,766,146,210,3.0,4.0,3.0,4.0,5.0,2.0,5.0,3.0,2.0,1.0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,2.0,3,2.0,2.0,21,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1
55,5.0,3.0,5.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,2.0,3.0,5.0,4.0,5.0,5.0,5.0,3.0,,5.0,1.0,2.0,5.0,4.0,2.0,4.0,PAK,30,484,287,1.0,2.0,5.0,3.0,3.0,4.0,5.0,1.0,2.0,2.0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,4.0,3,2.0,2.0,25,1.0,10.0,1.0,2.0,1.0,3.0,2.0,1
56,4.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,2.0,1.0,3.0,3.0,5.0,1.0,4.0,3.0,5.0,4.0,5.0,4.0,,EST,1972,68,98,3.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3.0,3,2.0,2.0,23,1.0,1.0,2.0,1.0,1.0,3.0,2.0,0
